dataset	method	trial	ml	score	time
housing	control	7	LassoLarsCV	0.317498764254	127.31322383880615
housing	control	2	LassoLarsCV	0.309132037468	128.22791385650635
uball5d	weight_parents	3	DecisionTreeRegressor	0.818727387882	129.07987713813782
uball5d	weight_parents	9	DecisionTreeRegressor	0.823172506633	126.50178170204163
housing	control	8	LassoLarsCV	0.332235843099	131.87820148468018
housing	weight_parents	1	LassoLarsCV	0.277967902592	137.41606211662292
housing	weight_parents	3	LassoLarsCV	0.497192640856	137.67037725448608
housing	weight_parents	7	LassoLarsCV	0.410588977429	133.7694811820984
housing	weight_parents	0	LassoLarsCV	0.193681618381	138.36454367637634
housing	control	9	LassoLarsCV	0.194422738028	134.9292769432068
uball5d	control	6	DecisionTreeRegressor	0.8398565291	132.12654447555542
housing	control	1	LassoLarsCV	0.353698237014	137.07306289672852
housing	control	6	LassoLarsCV	0.292433084658	138.74364495277405
housing	weight_parents	9	LassoLarsCV	-6.76341755388	138.65205669403076
housing	control	4	LassoLarsCV	0.321672528953	140.2949140071869
housing	weight_parents	8	LassoLarsCV	-62.604073322	140.88507390022278
housing	control	3	LassoLarsCV	0.30054112746	141.36776280403137
housing	control	0	LassoLarsCV	0.395362827361	146.58004236221313
wav	control	0	DecisionTreeClassifier	0.734998738548	85.29392004013062
wav	weight_parents	1	DecisionTreeClassifier	0.729198578051	85.30911016464233
wav	control	5	DecisionTreeClassifier	0.744597899148	85.46505641937256
wav	weight_parents	2	DecisionTreeClassifier	0.746001579996	85.48643779754639
wav	control	4	DecisionTreeClassifier	0.74540254014	86.07031750679016
wav	control	2	DecisionTreeClassifier	0.74339693886	85.8108696937561
wav	control	7	DecisionTreeClassifier	0.739997738748	86.4268696308136
wav	control	3	DecisionTreeClassifier	0.739198378812	86.53008818626404
wav	weight_parents	4	DecisionTreeClassifier	0.733601538996	86.78433322906494
wav	weight_parents	6	DecisionTreeClassifier	0.732399978588	87.50776696205139
wav	weight_parents	3	DecisionTreeClassifier	0.741400819476	88.31348085403442
wav	control	8	DecisionTreeClassifier	0.73540093902	88.93433952331543
wav	weight_parents	9	DecisionTreeClassifier	0.739197898716	93.84675407409668
wav	control	1	DecisionTreeClassifier	0.743797819068	93.85926222801208
wav	weight_parents	5	DecisionTreeClassifier	0.739201859508	96.11731147766113
